iter	Passed	Remaining
0	140	140421
1	143	71432
2	146	48662
3	148	37094
4	151	30186
5	158	26222
6	162	23015
7	166	20629
8	170	18776
9	175	17330
10	177	15986
11	181	14908
12	183	13935
13	186	13147
14	190	12530
15	194	11933
16	196	11387
17	200	10919
18	203	10504
19	207	10155
20	210	9792
21	213	9481
22	217	9238
23	220	8961
24	223	8729
25	227	8532
26	233	8400
27	237	8234
28	240	8049
29	244	7908
30	247	7749
31	250	7575
32	253	7430
33	256	7296
34	260	7190
35	264	7082
36	271	7068
37	274	6945
38	278	6859
39	282	6770
40	284	6655
41	287	6548
42	290	6469
43	294	6396
44	297	6320
45	300	6236
46	304	6176
47	307	6105
48	310	6028
49	314	5978
50	317	5906
51	321	5855
52	324	5806
53	329	5778
54	335	5770
55	339	5723
56	342	5671
57	345	5617
58	348	5559
59	351	5511
60	355	5472
61	361	5466
62	365	5428
63	368	5386
64	371	5337
65	374	5293
66	377	5250
67	380	5210
68	384	5190
69	387	5147
70	391	5125
71	394	5083
72	397	5046
73	401	5027
74	407	5024
75	410	4995
76	414	4966
77	417	4934
78	420	4900
79	424	4884
80	427	4847
81	430	4823
82	434	4798
83	438	4786
84	442	4759
85	445	4739
86	449	4719
87	452	4687
88	455	4664
89	458	4633
90	461	4613
91	464	4587
92	468	4571
93	476	4591
94	481	4587
95	484	4562
96	489	4553
97	493	4540
98	495	4514
99	500	4502
100	502	4475
101	505	4447
102	508	4425
103	511	4403
104	514	4385
105	518	4377
106	522	4357
107	525	4338
108	529	4324
109	534	4321
110	537	4301
111	540	4285
112	543	4264
113	546	4248
114	550	4236
115	553	4218
116	557	4208
117	560	4192
118	563	4174
119	567	4161
120	570	4146
121	573	4130
122	577	4119
123	581	4108
124	585	4100
125	589	4090
126	592	4075
127	596	4060
128	598	4043
129	601	4024
130	605	4019
131	608	3998
132	610	3982
133	613	3965
134	617	3956
135	620	3943
136	623	3927
137	627	3916
138	629	3901
139	633	3893
140	638	3892
141	644	3893
142	647	3881
143	650	3866
144	654	3858
145	657	3846
146	661	3841
147	665	3830
148	667	3814
149	670	3798
150	674	3791
151	677	3780
152	681	3771
153	685	3767
